# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

ConnectionType	ConnectionType	connection.h	94	1	aeFileProc *:accept_handler	TODO(architect): assign canonical Rust type
connection	connection	connection.h	159	11	ConnectionType *:type; ConnectionState:state; int:last_errno; int:fd; short int:flags; ...	Connection enum (crates/redis-core/src/connection.rs) — Phase 3
connListener	connListener	connection.h	176	7	int:fd; int:count; char **:bindaddr; int:bindaddr_count; int:port; ...	TODO(architect): assign canonical Rust type
scanData		db.c	983	7	vector *:result; robj *:o; serverDb *:db; long long:type; sds:pattern; ...	TODO(architect): assign canonical Rust type
ChannelSpecs	ChannelSpecs	db.c	2513	4	serverCommandProc *:proc; uint64_t:flags; int:start; int:count	TODO(architect): assign canonical Rust type
backtrace_callback_data		debug.c	1724	3	int:fd; int:count; int:found_symbols	TODO(architect): assign canonical Rust type
stacktrace_data		debug.c	1828	4	char:thread_name; int:trace_size; pid_t:tid; void *:trace	TODO(architect): assign canonical Rust type
StageDescriptor		defrag.c	80	3	defragStageFn:stage_fn; void *:target; void *:privdata	TODO(architect): assign canonical Rust type
DefragContext	DefragContext	defrag.c	88	7	monotime:start_cycle; long long:start_defrag_hits; list *:remaining_stages; StageDescriptor *:current_stage; long long:timeproc_id; ...	TODO(architect): assign canonical Rust type
kvstoreIterState		defrag.c	109	3	kvstore *:kvs; int:slot; unsigned long:cursor	TODO(architect): assign canonical Rust type
defragKeysCtx		defrag.c	130	2	kvstoreIterState:kvstate; int:dbid	TODO(architect): assign canonical Rust type
getClientChannelsFnWrapper		defrag.c	138	1	getClientChannelsFn:fn	TODO(architect): assign canonical Rust type
defragPubSubCtx		defrag.c	142	2	kvstoreIterState:kvstate; getClientChannelsFn:getPubSubChannels	TODO(architect): assign canonical Rust type
dictDefragFunctions		defrag.c	303	2	dictDefragAllocFunction *:defragKey; dictDefragAllocFunction *:defragVal	TODO(architect): assign canonical Rust type
PendingEntryContext		defrag.c	625	2	streamCG *:cg; streamConsumer *:c	TODO(architect): assign canonical Rust type
evalScript	evalScript	eval.c	58	5	compiledFunction *:script; scriptingEngine *:engine; robj *:body; uint64_t:flags; listNode *:node	TODO(architect): assign canonical Rust type
evictionPoolEntry	evictionPoolEntry	evict.c	56	5	unsigned long long:idle; sds:key; sds:cached; int:dbid; int:slot	TODO(architect): assign canonical Rust type
